

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
075.154  000.338  000.338: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
075.239  000.721  000.382: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/matchit.vim
075.381  000.118  000.118: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/matchparen.vim
075.696  000.295  000.295: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/netrwPlugin.vim
075.841  000.082  000.082: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/nvim.lua
075.995  000.006  000.006: sourcing /home/met/.local/share/nvim/rplugin.vim
076.003  000.128  000.122: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/rplugin.vim
076.087  000.061  000.061: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/shada.vim
076.145  000.018  000.018: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/spellfile.vim
076.278  000.107  000.107: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/tarPlugin.vim
076.380  000.067  000.067: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/tohtml.vim
076.419  000.013  000.013: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/tutor.vim
076.574  000.134  000.134: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/plugin/zipPlugin.vim
076.860  000.080  000.080: sourcing /home/met/.local/share/nvim/lazy/indent-blankline.nvim/after/plugin/commands.lua
077.596  000.642  000.642: require('core.options')
077.768  000.169  000.169: require('core.keymaps')
077.771  073.746  029.588: sourcing /home/met/.config/nvim/init.lua
077.777  000.396: sourcing vimrc file(s)
078.071  000.058  000.058: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/filetype.lua
078.249  000.054  000.054: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/syntax/synload.vim
078.303  000.190  000.136: sourcing /home/met/.local/bin/nvim-linux64/share/nvim/runtime/syntax/syntax.vim
078.312  000.287: inits 3
079.950  001.639: reading ShaDa
080.779  000.042  000.042: require('cmp_nvim_lsp.source')
080.783  000.324  000.282: require('cmp_nvim_lsp')
080.794  000.390  000.066: sourcing /home/met/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
081.101  000.169  000.169: sourcing /home/met/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
083.083  000.913  000.913: require('vim.filetype')
083.672  000.028  000.028: require('luasnip.util.types')
083.677  000.067  000.039: require('luasnip.util.ext_opts')
083.798  000.022  000.022: require('luasnip.util.lazy_table')
083.824  000.025  000.025: require('luasnip.extras.filetype_functions')
083.836  000.123  000.076: require('luasnip.default_config')
083.837  000.160  000.037: require('luasnip.session')
083.839  000.597  000.370: require('luasnip.config')
083.979  000.049  000.049: require('luasnip.util.util')
084.044  000.022  000.022: require('luasnip.nodes.key_indexer')
084.047  000.066  000.045: require('luasnip.nodes.util')
084.110  000.026  000.026: require('luasnip.session.snippet_collection.source')
084.131  000.020  000.020: require('luasnip.util.table')
084.151  000.019  000.019: require('luasnip.util.auto_table')
084.156  000.108  000.043: require('luasnip.session.snippet_collection')
084.266  000.047  000.047: require('luasnip.util.select')
084.289  000.022  000.022: require('luasnip.util.time')
084.573  000.391  000.321: require('luasnip.util._builtin_vars')
084.695  000.539  000.148: require('luasnip.util.environ')
084.729  000.032  000.032: require('luasnip.util.extend_decorator')
084.815  000.047  000.047: require('luasnip.util.path')
084.893  000.046  000.046: require('luasnip.util.log')
084.896  000.081  000.035: require('luasnip.loaders.util')
084.919  000.022  000.022: require('luasnip.loaders.data')
084.987  000.067  000.067: require('luasnip.loaders.fs_watchers')
084.989  000.259  000.042: require('luasnip.loaders')
085.010  001.165  000.112: require('luasnip')
085.023  002.915  000.241: sourcing /home/met/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
085.078  000.018  000.018: sourcing /home/met/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
085.240  000.066  000.066: require('cmp.utils.api')
085.321  000.025  000.025: require('cmp.types.cmp')
085.380  000.028  000.028: require('cmp.utils.misc')
085.425  000.103  000.075: require('cmp.types.lsp')
085.450  000.023  000.023: require('cmp.types.vim')
085.451  000.210  000.059: require('cmp.types')
085.500  000.036  000.036: require('cmp.utils.highlight')
085.541  000.019  000.019: require('cmp.utils.debug')
